Name,Position,Value
"Jean-Philippe Mateta",Angriff,22
"Guido Burgstaller",Angriff,5.5
"Gonçalo Paciência",Angriff,6
Joelinton,Angriff,35
"Jean-Kévin Augustin",Angriff,16
"Josh Sargent",Angriff,4
"Lucas Alario",Angriff,17
"Jean-Paul Boëtius","Mittelfeld",6
"Ondrej Duda","Mittelfeld",17
"Leonardo Bittencourt","Mittelfeld",7
"Daniel Didavi","Mittelfeld",4
"Kevin Möhwald","Mittelfeld",4
"Davy Klaassen","Mittelfeld",22
"Marco Reus","Mittelfeld",50
"Amine Harit","Mittelfeld",10
"Yunus Malli","Mittelfeld",5
"Mijat Gacinovic","Mittelfeld",11
"Kai Havertz","Mittelfeld",90
"James Rodríguez","Mittelfeld",50
"Kevin Stöger","Mittelfeld",5
"Mario Götze","Mittelfeld",25
William,"Verteidiger",7
"Pavel Kaderabek","Verteidiger",20
"Nordi Mukiele","Verteidiger",15
"Danny da Costa","Verteidiger",15
"Joshua Brenet","Verteidiger",4.5
"Mitchell Weiser","Verteidiger",14
"Matthias Zimmermann","Verteidiger",5
"Joshua Kimmich","Verteidiger",70
"Jonathan Schmid","Verteidiger",5
"Michael Lang","Verteidiger",4.5
"Achraf Hakimi","Verteidiger",30
"Lukas Klostermann","Verteidiger",30
"Daniel Caligiuri","Mittelfeld",6.5
"Valentino Lazaro","Mittelfeld",17
"Linton Maina","Mittelfeld",7
"Alessandro Schöpf","Mittelfeld",5
"Dodi Lukebakio",Angriff,18
"Patrick Herrmann",Angriff,4.5
"Reiss Nelson",Angriff,17
"Matheus Pereira",Angriff,5.5
"Karim Bellarabi",Angriff,15
"Arjen Robben",Angriff,4
"Marius Wolf",Angriff,8
"Serge Gnabry",Angriff,60
"Christian Pulisic",Angriff,60
"Marcel Sabitzer",Angriff,25
"Johannes Eggestein",Angriff,10
"Renato Steffen",Angriff,5
"Ihlas Bebou",Angriff,12
"Jadon Sancho",Angriff,100
"Pascal Stenzel",Verteidiger,4
"Kevin Trapp",Torwart,10
"Sven Ulreich",Torwart,4.5
"Ron-Robert Zieler",Torwart,4.5
"Florian Müller",Torwart,10
"Alexander Nübel",Torwart,12
"Yann Sommer",Torwart,12
"Péter Gulácsi",Torwart,12
"Alexander Schwolow",Torwart,9
"Ralf Fährmann",Torwart,5
"Koen Casteels",Torwart,13
"Oliver Baumann",Torwart,8
"Roman Bürki",Torwart,14
"Gregor Kobel",Torwart,6
"Manuel Neuer",Torwart,18
"Marko Grujic","Mittelfeld",20
"Renato Sanches","Mittelfeld",18
"Konrad Laimer","Mittelfeld",17
"Nadiem Amiri","Mittelfeld",17
"Eduard Löwen","Mittelfeld",7
"Charles Aránguiz","Mittelfeld",15
"Dominik Kohr","Mittelfeld",4
"Elvis Rexhbecaj","Mittelfeld",8
"Corentin Tolisso","Mittelfeld",40
"Maximilian Eggestein","Mittelfeld",30
"Mahmoud Dahoud","Mittelfeld",14
"Leon Goretzka","Mittelfeld",50
"Weston McKennie","Mittelfeld",20
"Jonas Hofmann","Mittelfeld",9
"Amadou Haidara","Mittelfeld",20
"Suat Serdar","Mittelfeld",13
"Nabil Bentaleb","Mittelfeld",13
"Florian Neuhaus","Mittelfeld",22
"Kerem Demirbay","Mittelfeld",32
"Kevin Kampl","Mittelfeld",22
"Florian Grillitsch","Mittelfeld",22
"Yannick Gerhardt","Mittelfeld",10
"Janik Haberer","Mittelfeld",10
Thiago,"Mittelfeld",70
"Thomas Delaney","Mittelfeld",27
"Maximilian Arnold","Mittelfeld",15
