Name Verein Position Einsatz SpielMinuten "Abgefangene Baelle"
"Arne Maier" "Hertha BSC" "Defensives Mittelfeld" 24 2187 29
"Marcel Sabitzer" "RB Leipzig" "Rechte Außenbahn" 30 2492 33
"Sebastian Langkamp" "SV Werder Bremen" Innenverteidiger 21 1520 20
"Mijat Gacinovic" "Eintracht Frankfurt" "Offensives Mittelfeld" 29 1760 23
"Manuel Gulde" "SC Freiburg" Innenverteidiger 21 1840 24
Aarón "1. FSV Mainz 05" Linksverteidiger 33 3069 40
"Niko Gießelmann" "Fortuna Düsseldorf" Linksverteidiger 30 2764 36
"Michael Lang" "B. Mönchengladbach" Rechtsverteidiger 17 1319 17
"Evan N'Dicka" "Eintracht Frankfurt" Innenverteidiger 27 2483 32
"Kevin Stöger" "Fortuna Düsseldorf" "Offensives Mittelfeld" 25 2255 29
"Pierre Kunde" "1. FSV Mainz 05" "Zentrales Mittelfeld" 29 2028 26
"Daniel Brosinski" "1. FSV Mainz 05" Rechtsverteidiger 26 2343 30
"Mathew Leckie" "Hertha BSC" "Rechte Außenbahn" 18 1017 13
"Georg Margreitter" "1. FC Nürnberg" Innenverteidiger 27 2206 28
"Stefan Posch" "TSG 1899 Hoffenheim" Innenverteidiger 17 1499 19
"Charles Aránguiz" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 24 1994 25
"Bastian Oczipka" "FC Schalke 04" Linksverteidiger 21 2015 25
"Andreas Beck" "VfB Stuttgart" Rechtsverteidiger 24 1872 23
"Manuel Akanji" "Borussia Dortmund" Innenverteidiger 25 2371 29
"Hanno Behrens" "1. FC Nürnberg" "Zentrales Mittelfeld" 30 2795 34
"Leon Goretzka" "FC Bayern München" "Zentrales Mittelfeld" 30 2158 26
"Suat Serdar" "FC Schalke 04" "Zentrales Mittelfeld" 26 1831 22
"Mitchell Weiser" "Bayer 04 Leverkusen" Rechtsverteidiger 30 2256 27
"David Alaba" "FC Bayern München" Linksverteidiger 31 2688 32
"Jérôme Roussillon" "VfL Wolfsburg" Linksverteidiger 28 2617 31
"Maximilian Arnold" "VfL Wolfsburg" "Zentrales Mittelfeld" 33 3047 36
"André Hahn" "FC Augsburg" "Rechte Außenbahn" 28 2207 26
"Raphaël Guerreiro" "Borussia Dortmund" Linksverteidiger 23 1633 19
"Oliver Fink" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 18 1118 13
Wendell "Bayer 04 Leverkusen" Linksverteidiger 28 2426 28
"Denis Zakaria" "B. Mönchengladbach" "Defensives Mittelfeld" 31 2088 24
"Joshua Kimmich" "FC Bayern München" Rechtsverteidiger 34 3247 37
"Leonardo Bittencourt" "TSG 1899 Hoffenheim" "Linke Außenbahn" 21 1146 13
"Kerem Demirbay" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 26 2132 24
"Ludwig Augustinsson" "SV Werder Bremen" Linksverteidiger 34 3237 36
"Yannick Gerhardt" "VfL Wolfsburg" "Zentrales Mittelfeld" 30 2612 29
"Jean-Philippe Gbamin" "1. FSV Mainz 05" "Defensives Mittelfeld" 31 2840 31
"Danny Latza" "1. FSV Mainz 05" "Defensives Mittelfeld" 24 1929 21
"Julian Weigl" "Borussia Dortmund" "Defensives Mittelfeld" 18 1567 17
"Elvis Rexhbecaj" "VfL Wolfsburg" "Defensives Mittelfeld" 24 1225 13
"Abdou Diallo" "Borussia Dortmund" Innenverteidiger 28 2554 27
"Fabian Johnson" "B. Mönchengladbach" "Linke Außenbahn" 18 1082 11
"Renato Steffen" "VfL Wolfsburg" "Rechte Außenbahn" 31 1592 16
"Matheus Pereira" "1. FC Nürnberg" "Rechte Außenbahn" 19 1311 13
"Josip Brekalo" "VfL Wolfsburg" "Linke Außenbahn" 25 1515 15
"Maximilian Eggestein" "SV Werder Bremen" "Zentrales Mittelfeld" 34 3267 32
"Federico Palacios" "1. FC Nürnberg" Stürmer 17 1022 10
"Karim Bellarabi" "Bayer 04 Leverkusen" "Rechte Außenbahn" 19 1131 11
"Jacob Bruun Larsen" "Borussia Dortmund" "Linke Außenbahn" 24 1350 13
"Sebastian Rudy" "FC Schalke 04" "Defensives Mittelfeld" 21 1455 14
"Linton Maina" "Hannover 96" "Linke Außenbahn" 20 1460 14
"Enrico Valentini" "1. FC Nürnberg" Rechtsverteidiger 15 1373 13
"Danny da Costa" "Eintracht Frankfurt" Rechtsverteidiger 34 3253 30
"Nico Schulz" "TSG 1899 Hoffenheim" Linksverteidiger 30 2711 25
"Alexander Esswein" "VfB Stuttgart" "Rechte Außenbahn" 17 1303 12
"Genki Haraguchi" "Hannover 96" "Linke Außenbahn" 28 2285 21
"Miiko Albornoz" "Hannover 96" Linksverteidiger 22 1779 16
"Thorgan Hazard" "B. Mönchengladbach" "Rechte Außenbahn" 33 3035 27
"Lars Stindl" "B. Mönchengladbach" Stürmer 21 1585 14
"Mike Frantz" "SC Freiburg" "Zentrales Mittelfeld" 31 2302 20
"Jean Zimmer" "Fortuna Düsseldorf" Rechtsverteidiger 18 1505 13
"Marco Richter" "FC Augsburg" Stürmer 25 1510 13
"Dennis Aogo" "VfB Stuttgart" Linksverteidiger 15 1069 9
"Benito Raman" "Fortuna Düsseldorf" "Rechte Außenbahn" 30 1792 15
"Alessandro Schöpf" "FC Schalke 04" "Offensives Mittelfeld" 15 1093 9
"Gian-Luca Waldschmidt" "SC Freiburg" Stürmer 30 1830 15
"Philipp Max" "FC Augsburg" Linksverteidiger 30 2732 22
"Ridle Baku" "1. FSV Mainz 05" "Zentrales Mittelfeld" 15 997 8
"Javairo Dilrosun" "Hertha BSC" "Linke Außenbahn" 17 997 8
"Leon Bailey" "Bayer 04 Leverkusen" "Linke Außenbahn" 29 2018 16
"Ihlas Bebou" "Hannover 96" "Rechte Außenbahn" 12 1137 9
"Admir Mehmedi" "VfL Wolfsburg" Stürmer 26 1786 14
"Amine Harit" "FC Schalke 04" "Offensives Mittelfeld" 18 1152 9
"Matthias Ginter" "B. Mönchengladbach" Innenverteidiger 27 2522 19
"Jonas Hofmann" "B. Mönchengladbach" "Zentrales Mittelfeld" 27 2019 15
"Filip Kostic" "Eintracht Frankfurt" "Linke Außenbahn" 34 3158 23
"Oscar Wendt" "B. Mönchengladbach" Linksverteidiger 32 2908 21
"Yuya Kubo" "1. FC Nürnberg" Stürmer 22 1430 10
"Nils Petersen" "SC Freiburg" Stürmer 24 2087 14
"Jonathan de Guzmán" "Eintracht Frankfurt" "Zentrales Mittelfeld" 28 1678 11
"Karim Onisiwo" "1. FSV Mainz 05" "Rechte Außenbahn" 26 1236 8
"Steven Zuber" "VfB Stuttgart" "Linke Außenbahn" 22 1706 11
Joelinton "TSG 1899 Hoffenheim" Stürmer 28 2268 14
"Franck Ribéry" "FC Bayern München" "Linke Außenbahn" 25 1308 8
"Michael Gregoritsch" "FC Augsburg" "Offensives Mittelfeld" 32 2633 16
"Serge Gnabry" "FC Bayern München" "Linke Außenbahn" 30 1887 11
"Eduard Löwen" "1. FC Nürnberg" "Zentrales Mittelfeld" 22 1717 10
"Jadon Sancho" "Borussia Dortmund" "Linke Außenbahn" 34 2644 15
"Julian Brandt" "Bayer 04 Leverkusen" "Linke Außenbahn" 33 2823 16
"Ondrej Duda" "Hertha BSC" "Offensives Mittelfeld" 32 2687 15
"Virgil Misidjan" "1. FC Nürnberg" "Rechte Außenbahn" 23 1624 9
"Mark Uth" "FC Schalke 04" Stürmer 20 1507 8
"Nicolás González" "VfB Stuttgart" Stürmer 30 2288 12
"Kai Havertz" "Bayer 04 Leverkusen" "Offensives Mittelfeld" 34 3075 16
"Sébastien Haller" "Eintracht Frankfurt" Stürmer 29 2353 12
"Yuya Osako" "SV Werder Bremen" Stürmer 21 1435 7
"Florian Neuhaus" "B. Mönchengladbach" "Zentrales Mittelfeld" 32 2164 10
"Christian Günter" "SC Freiburg" Linksverteidiger 32 3082 14
"Mario Götze" "Borussia Dortmund" "Offensives Mittelfeld" 26 1781 8
"Ante Rebic" "Eintracht Frankfurt" Stürmer 28 2098 9
"Thomas Müller" "FC Bayern München" "Rechte Außenbahn" 32 2483 10
"Dodi Lukebakio" "Fortuna Düsseldorf" "Rechte Außenbahn" 31 2077 8
"Andrej Kramaric" "TSG 1899 Hoffenheim" Stürmer 30 2548 9
"Marvin Plattenhardt" "Hertha BSC" Linksverteidiger 22 2040 7
"Marco Reus" "Borussia Dortmund" "Offensives Mittelfeld" 27 2463 8
"Robin Quaison" "1. FSV Mainz 05" Stürmer 28 2323 7
"Yussuf Poulsen" "RB Leipzig" Stürmer 31 2595 7
"Max Kruse" "SV Werder Bremen" Stürmer 32 3018 8
"Wout Weghorst" "VfL Wolfsburg" Stürmer 34 3098 8
"Kevin Volland" "Bayer 04 Leverkusen" Stürmer 34 2983 7
