Name Verein Position Einsatz SpielMinuten torschussvorlagen
"Matthias Zimmermann" "Fortuna Düsseldorf" Rechtsverteidiger 34 3243 20
"Jérôme Boateng" "FC Bayern München" Innenverteidiger 20 1798 11
"Patrick Erras" "1. FC Nürnberg" "Defensives Mittelfeld" 19 1317 8
"Ridle Baku" "1. FSV Mainz 05" "Zentrales Mittelfeld" 15 997 6
"Anastasios Donis" "VfB Stuttgart" Stürmer 24 1017 6
"Federico Palacios" "1. FC Nürnberg" Stürmer 17 1022 6
"Dominik Kohr" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 18 1065 6
Walace "Hannover 96" "Defensives Mittelfeld" 26 2138 12
"Lukas Kübler" "SC Freiburg" Rechtsverteidiger 16 1264 7
"Julian Baumgartlinger" "Bayer 04 Leverkusen" "Defensives Mittelfeld" 21 1667 9
"Thomas Delaney" "Borussia Dortmund" "Zentrales Mittelfeld" 30 2427 13
"Matthias Ostrzolek" "Hannover 96" Linksverteidiger 18 1581 8
"Marvin Bakalorz" "Hannover 96" "Zentrales Mittelfeld" 25 1590 8
"Virgil Misidjan" "1. FC Nürnberg" "Rechte Außenbahn" 23 1624 8
"Guido Burgstaller" "FC Schalke 04" Stürmer 24 1643 8
"Axel Witsel" "Borussia Dortmund" "Defensives Mittelfeld" 33 3093 15
"Josuha Guilavogui" "VfL Wolfsburg" "Defensives Mittelfeld" 19 1666 8
"Adam Bodzek" "Fortuna Düsseldorf" "Defensives Mittelfeld" 21 1678 8
"Benjamin Stambouli" "FC Schalke 04" Innenverteidiger 21 1902 9
"Santiago Ascacibar" "VfB Stuttgart" "Defensives Mittelfeld" 27 2574 12
"Javier Martínez" "FC Bayern München" "Defensives Mittelfeld" 21 1393 6
"Alfredo Morales" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 23 1653 7
"Niklas Moisander" "SV Werder Bremen" Innenverteidiger 30 2835 12
"Abdou Diallo" "Borussia Dortmund" Innenverteidiger 28 2554 10
"Kevin Wimmer" "Hannover 96" Innenverteidiger 22 1820 7
"Benjamin Pavard" "VfB Stuttgart" Innenverteidiger 29 2759 10
"Oliver Sorg" "Hannover 96" Rechtsverteidiger 19 1679 6
"Ondrej Petrák" "1. FC Nürnberg" "Defensives Mittelfeld" 22 1737 6
"Marc-Oliver Kempf" "VfB Stuttgart" Innenverteidiger 23 2148 7
"Jeffrey Gouweleeuw" "FC Augsburg" Innenverteidiger 25 2243 7
"Martin Hinteregger" "Eintracht Frankfurt" Innenverteidiger 32 2904 9
"Matthias Ginter" "B. Mönchengladbach" Innenverteidiger 27 2522 7
"Marcin Kaminski" "Fortuna Düsseldorf" Innenverteidiger 27 2581 7
"Makoto Hasebe" "Eintracht Frankfurt" Innenverteidiger 28 2697 7
"Manuel Akanji" "Borussia Dortmund" Innenverteidiger 25 2371 6
"Rani Khedira" "FC Augsburg" "Defensives Mittelfeld" 30 2800 7
"Kevin Vogt" "TSG 1899 Hoffenheim" Innenverteidiger 28 2540 6
"Moussa Niakhaté" "1. FSV Mainz 05" Innenverteidiger 33 2975 7
"Kaan Ayhan" "Fortuna Düsseldorf" Innenverteidiger 28 2603 6
"Dominique Heintz" "SC Freiburg" Innenverteidiger 34 3266 7
"Niklas Süle" "FC Bayern München" Innenverteidiger 31 2831 6
"Jonathan Tah" "Bayer 04 Leverkusen" Innenverteidiger 33 3130 6
