Name Verein Position Einsatz SpielMinuten "Successful Dribblings" "Total Dribblings"
"Achraf Hakimi" "Borussia Dortmund" Rechtsverteidiger 21 1871 39 67
"Christian Günter" "SC Freiburg" Linksverteidiger 32 3082 39 88
"Max Kruse" "SV Werder Bremen" Stürmer 32 3018 38 58
"Suat Serdar" "FC Schalke 04" "Zentrales Mittelfeld" 26 1831 38 63
"Joshua Kimmich" "FC Bayern München" Rechtsverteidiger 34 3247 38 67
"Ishak Belfodil" "TSG 1899 Hoffenheim" Stürmer 28 1982 37 56
"Ondrej Duda" "Hertha BSC" "Offensives Mittelfeld" 32 2687 37 62
"Franck Ribéry" "FC Bayern München" "Linke Außenbahn" 25 1308 37 89
"Benito Raman" "Fortuna Düsseldorf" "Rechte Außenbahn" 30 1792 37 94
"Amine Harit" "FC Schalke 04" "Offensives Mittelfeld" 18 1152 35 52
"Ihlas Bebou" "Hannover 96" "Rechte Außenbahn" 12 1137 35 66
"Jean-Philippe Mateta" "1. FSV Mainz 05" Stürmer 34 2617 35 74
"Vincenzo Grifo" "SC Freiburg" "Linke Außenbahn" 23 1868 34 56
"Emiliano Insúa" "VfB Stuttgart" Linksverteidiger 27 2219 34 60
"Jean-Philippe Gbamin" "1. FSV Mainz 05" "Defensives Mittelfeld" 31 2840 34 72
"Valentino Lazaro" "Hertha BSC" "Rechte Außenbahn" 31 2918 34 74
"Marco Richter" "FC Augsburg" Stürmer 25 1510 33 75
"Milot Rashica" "SV Werder Bremen" Stürmer 26 1631 33 87
"Josip Brekalo" "VfL Wolfsburg" "Linke Außenbahn" 25 1515 32 70
"Raphaël Guerreiro" "Borussia Dortmund" Linksverteidiger 23 1633 31 53
"Konrad Laimer" "RB Leipzig" "Zentrales Mittelfeld" 29 1972 31 58
"Jean-Paul Boëtius" "1. FSV Mainz 05" "Linke Außenbahn" 30 2257 30 56
"Denis Zakaria" "B. Mönchengladbach" "Defensives Mittelfeld" 31 2088 30 62
"Kevin Volland" "Bayer 04 Leverkusen" Stürmer 34 2983 30 62
"Marcel Halstenberg" "RB Leipzig" Linksverteidiger 28 2556 29 44
"Marko Grujic" "Hertha BSC" "Zentrales Mittelfeld" 22 1907 29 49
"Florian Neuhaus" "B. Mönchengladbach" "Zentrales Mittelfeld" 32 2164 29 59
"Eduard Löwen" "1. FC Nürnberg" "Zentrales Mittelfeld" 22 1717 29 70
"Danny da Costa" "Eintracht Frankfurt" Rechtsverteidiger 34 3253 29 83
"Timo Werner" "RB Leipzig" Stürmer 30 2605 29 92
"David Alaba" "FC Bayern München" Linksverteidiger 31 2688 28 39
"Kevin Stöger" "Fortuna Düsseldorf" "Offensives Mittelfeld" 25 2255 28 45
"Andrej Kramaric" "TSG 1899 Hoffenheim" Stürmer 30 2548 28 53
"Mijat Gacinovic" "Eintracht Frankfurt" "Offensives Mittelfeld" 29 1760 28 60
William "VfL Wolfsburg" Rechtsverteidiger 31 2864 27 53
"Mario Götze" "Borussia Dortmund" "Offensives Mittelfeld" 26 1781 27 60
"Mitchell Weiser" "Bayer 04 Leverkusen" Rechtsverteidiger 30 2256 27 61
"Breel Embolo" "FC Schalke 04" Stürmer 20 1411 27 70
"Luka Jovic" "Eintracht Frankfurt" Stürmer 32 2382 26 56
"Axel Witsel" "Borussia Dortmund" "Defensives Mittelfeld" 33 3093 25 35
"Marco Reus" "Borussia Dortmund" "Offensives Mittelfeld" 27 2463 25 63
"Maximilian Arnold" "VfL Wolfsburg" "Zentrales Mittelfeld" 33 3047 24 30
"Kevin Kampl" "RB Leipzig" "Zentrales Mittelfeld" 27 2212 24 32
"Sébastien Haller" "Eintracht Frankfurt" Stürmer 29 2353 24 48
"Tim Leibold" "1. FC Nürnberg" Linksverteidiger 32 2934 24 55
"Yussuf Poulsen" "RB Leipzig" Stürmer 31 2595 24 69
"Florian Grillitsch" "TSG 1899 Hoffenheim" "Zentrales Mittelfeld" 30 2571 23 33
"Pierre Kunde" "1. FSV Mainz 05" "Zentrales Mittelfeld" 29 2028 23 35
"Maximilian Mittelstädt" "Hertha BSC" Linksverteidiger 25 1929 23 39
Walace "Hannover 96" "Defensives Mittelfeld" 26 2138 23 44
"Alassane Plea" "B. Mönchengladbach" Stürmer 34 2640 23 48
"Bastian Oczipka" "FC Schalke 04" Linksverteidiger 21 2015 23 53
"Ibrahima Konaté" "RB Leipzig" Innenverteidiger 28 2581 22 26
"Thomas Müller" "FC Bayern München" "Rechte Außenbahn" 32 2483 22 35
"Arne Maier" "Hertha BSC" "Defensives Mittelfeld" 24 2187 22 36
"Janik Haberer" "SC Freiburg" "Offensives Mittelfeld" 27 2497 22 38
"Robin Quaison" "1. FSV Mainz 05" Stürmer 28 2323 22 52
"Davie Selke" "Hertha BSC" Stürmer 30 1869 22 55
"Dominique Heintz" "SC Freiburg" Innenverteidiger 34 3266 21 28
"Emil Forsberg" "RB Leipzig" "Linke Außenbahn" 20 1305 21 45
"Nabil Bentaleb" "FC Schalke 04" "Defensives Mittelfeld" 25 1935 20 29
"Renato Steffen" "VfL Wolfsburg" "Rechte Außenbahn" 31 1592 20 31
"Gian-Luca Waldschmidt" "SC Freiburg" Stürmer 30 1830 20 41
"Nordi Mukiele" "RB Leipzig" Rechtsverteidiger 19 1300 19 32
"Matthias Zimmermann" "Fortuna Düsseldorf" Rechtsverteidiger 34 3243 19 35
"Karim Bellarabi" "Bayer 04 Leverkusen" "Rechte Außenbahn" 19 1131 19 43
"Linton Maina" "Hannover 96" "Linke Außenbahn" 20 1460 19 47
"Kenan Karaman" "Fortuna Düsseldorf" "Linke Außenbahn" 21 1007 18 30
"Nicolai Müller" "Hannover 96" "Rechte Außenbahn" 21 1185 18 31
"André Hahn" "FC Augsburg" "Rechte Außenbahn" 28 2207 18 49
"Jonathan Tah" "Bayer 04 Leverkusen" Innenverteidiger 33 3130 17 20
"Waldemar Anton" "Hannover 96" Innenverteidiger 34 3278 17 30
"Anastasios Donis" "VfB Stuttgart" Stürmer 24 1017 17 35
James "FC Bayern München" "Offensives Mittelfeld" 20 1200 16 26
"Weston McKennie" "FC Schalke 04" "Zentrales Mittelfeld" 24 1872 16 31
"Alessandro Schöpf" "FC Schalke 04" "Offensives Mittelfeld" 15 1093 16 32
"Jonathan Schmid" "FC Augsburg" "Rechte Außenbahn" 28 2687 16 36
"Mark Uth" "FC Schalke 04" Stürmer 20 1507 16 40
"Maximilian Eggestein" "SV Werder Bremen" "Zentrales Mittelfeld" 34 3267 16 40
"Stefan Bell" "1. FSV Mainz 05" Innenverteidiger 25 2396 15 19
"Julian Baumgartlinger" "Bayer 04 Leverkusen" "Defensives Mittelfeld" 21 1667 15 23
"Lars Stindl" "B. Mönchengladbach" Stürmer 21 1585 15 28
"Marcel Sabitzer" "RB Leipzig" "Rechte Außenbahn" 30 2492 15 28
"Davy Klaassen" "SV Werder Bremen" "Zentrales Mittelfeld" 33 2985 15 29
"Danny Latza" "1. FSV Mainz 05" "Defensives Mittelfeld" 24 1929 15 34
"Jacob Bruun Larsen" "Borussia Dortmund" "Linke Außenbahn" 24 1350 15 41
"Karim Onisiwo" "1. FSV Mainz 05" "Rechte Außenbahn" 26 1236 15 41
"Johannes Eggestein" "SV Werder Bremen" Stürmer 23 1194 15 43
"Ozan Kabak" "VfB Stuttgart" Innenverteidiger 15 1431 14 18
"Yuya Osako" "SV Werder Bremen" Stürmer 21 1435 14 20
"Leon Goretzka" "FC Bayern München" "Zentrales Mittelfeld" 30 2158 14 23
"Ja-cheol Koo" "FC Augsburg" "Offensives Mittelfeld" 26 1744 14 25
"Daniel Baier" "FC Augsburg" "Defensives Mittelfeld" 33 2980 14 26
"Wout Weghorst" "VfL Wolfsburg" Stürmer 34 3098 14 27
"Theodor Gebre Selassie" "SV Werder Bremen" Rechtsverteidiger 32 3018 14 31
"Salif Sané" "FC Schalke 04" Innenverteidiger 30 2824 13 15
"Kaan Ayhan" "Fortuna Düsseldorf" Innenverteidiger 28 2603 13 18
"Santiago Ascacibar" "VfB Stuttgart" "Defensives Mittelfeld" 27 2574 13 20
"Jonathan de Guzmán" "Eintracht Frankfurt" "Zentrales Mittelfeld" 28 1678 13 20
"Pirmin Schwegler" "Hannover 96" "Defensives Mittelfeld" 27 2182 13 21
"Vedad Ibisevic" "Hertha BSC" Stürmer 28 1878 13 23
"Daniel Ginczek" "VfL Wolfsburg" Stürmer 24 1373 13 26
"Admir Mehmedi" "VfL Wolfsburg" Stürmer 26 1786 13 34
"Michael Gregoritsch" "FC Augsburg" "Offensives Mittelfeld" 32 2633 13 35
"Dan-Axel Zagadou" "Borussia Dortmund" Innenverteidiger 17 1361 12 12
"Patrick Herrmann" "B. Mönchengladbach" "Rechte Außenbahn" 24 1184 12 25
"Alfred Finnbogason" "FC Augsburg" Stürmer 18 1375 12 26
"Daniel Didavi" "VfB Stuttgart" "Offensives Mittelfeld" 20 1027 11 17
"Niklas Moisander" "SV Werder Bremen" Innenverteidiger 30 2835 11 18
"Mikael Ishak" "1. FC Nürnberg" Stürmer 29 2030 11 21
"Niko Gießelmann" "Fortuna Düsseldorf" Linksverteidiger 30 2764 11 25
"Jonas Hofmann" "B. Mönchengladbach" "Zentrales Mittelfeld" 27 2019 11 31
"Ludwig Augustinsson" "SV Werder Bremen" Linksverteidiger 34 3237 11 31
"Yuya Kubo" "1. FC Nürnberg" Stürmer 22 1430 11 36
"Hendrik Weydandt" "Hannover 96" Stürmer 28 1847 11 42
Ewerton "1. FC Nürnberg" Innenverteidiger 18 1449 10 11
"Lars Bender" "Bayer 04 Leverkusen" Rechtsverteidiger 20 1428 10 16
"Thomas Delaney" "Borussia Dortmund" "Zentrales Mittelfeld" 30 2427 10 17
"Nicolas Höfler" "SC Freiburg" "Defensives Mittelfeld" 18 1719 10 19
"Philipp Max" "FC Augsburg" Linksverteidiger 30 2732 10 19
"Federico Palacios" "1. FC Nürnberg" Stürmer 17 1022 10 22
"Jeffrey Gouweleeuw" "FC Augsburg" Innenverteidiger 25 2243 10 22
"Christian Gentner" "VfB Stuttgart" "Zentrales Mittelfeld" 29 2122 10 23
"Ádám Szalai" "TSG 1899 Hoffenheim" Stürmer 30 1787 10 26
"Mathew Leckie" "Hertha BSC" "Rechte Außenbahn" 18 1017 10 28
"Marvin Bakalorz" "Hannover 96" "Zentrales Mittelfeld" 25 1590 10 28
"Yannick Gerhardt" "VfL Wolfsburg" "Zentrales Mittelfeld" 30 2612 10 30
"Mats Hummels" "FC Bayern München" Innenverteidiger 21 1873 9 11
"Nico Elvedi" "B. Mönchengladbach" Innenverteidiger 30 2776 9 11
"Andreas Beck" "VfB Stuttgart" Rechtsverteidiger 24 1872 9 12
"Oliver Sorg" "Hannover 96" Rechtsverteidiger 19 1679 9 14
"Christoph Kramer" "B. Mönchengladbach" "Defensives Mittelfeld" 18 1207 9 16
"Charles Aránguiz" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 24 1994 9 17
"Kevin Möhwald" "SV Werder Bremen" "Zentrales Mittelfeld" 23 984 9 18
"Elvis Rexhbecaj" "VfL Wolfsburg" "Defensives Mittelfeld" 24 1225 9 18
"Diego Demme" "RB Leipzig" "Defensives Mittelfeld" 26 2155 9 18
"Enrico Valentini" "1. FC Nürnberg" Rechtsverteidiger 15 1373 9 19
"Oliver Fink" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 18 1118 9 19
"Florian Niederlechner" "SC Freiburg" Stürmer 24 1006 9 24
"Alexander Esswein" "VfB Stuttgart" "Rechte Außenbahn" 17 1303 9 25
"Leonardo Bittencourt" "TSG 1899 Hoffenheim" "Linke Außenbahn" 21 1146 9 25
"Steven Zuber" "VfB Stuttgart" "Linke Außenbahn" 22 1706 9 25
"Javairo Dilrosun" "Hertha BSC" "Linke Außenbahn" 17 997 9 26
"D. Upamecano" "RB Leipzig" Innenverteidiger 15 1369 8 9
"Per Skjelbred" "Hertha BSC" "Defensives Mittelfeld" 16 1059 8 9
"Alexander Hack" "1. FSV Mainz 05" Innenverteidiger 14 1084 8 10
"Josuha Guilavogui" "VfL Wolfsburg" "Defensives Mittelfeld" 19 1666 8 10
"Moussa Niakhaté" "1. FSV Mainz 05" Innenverteidiger 33 2975 8 10
"Benjamin Stambouli" "FC Schalke 04" Innenverteidiger 21 1902 8 11
"Nuri Sahin" "SV Werder Bremen" "Defensives Mittelfeld" 20 1545 8 12
"Manuel Akanji" "Borussia Dortmund" Innenverteidiger 25 2371 8 12
"Pavel Kaderábek" "TSG 1899 Hoffenheim" Rechtsverteidiger 29 2689 8 16
"Hanno Behrens" "1. FC Nürnberg" "Zentrales Mittelfeld" 30 2795 8 16
"Marvin Plattenhardt" "Hertha BSC" Linksverteidiger 22 2040 8 19
"Mario Gomez" "VfB Stuttgart" Stürmer 31 2344 8 22
"Lukasz Piszczek" "Borussia Dortmund" Rechtsverteidiger 20 1876 8 25
"Miiko Albornoz" "Hannover 96" Linksverteidiger 22 1779 8 29
"Lucas Höler" "SC Freiburg" Stürmer 26 1083 8 33
"Robin Knoche" "VfL Wolfsburg" Innenverteidiger 32 2986 7 9
"Georg Margreitter" "1. FC Nürnberg" Innenverteidiger 27 2206 7 10
"Benjamin Pavard" "VfB Stuttgart" Innenverteidiger 29 2759 7 13
"Tin Jedvaj" "Bayer 04 Leverkusen" Innenverteidiger 16 1208 7 14
"Martin Hinteregger" "Eintracht Frankfurt" Innenverteidiger 32 2904 7 14
Wendell "Bayer 04 Leverkusen" Linksverteidiger 28 2426 7 16
"Lukas Klostermann" "RB Leipzig" Rechtsverteidiger 26 2141 7 17
"Mike Frantz" "SC Freiburg" "Zentrales Mittelfeld" 31 2302 7 17
"Oscar Wendt" "B. Mönchengladbach" Linksverteidiger 32 2908 7 17
"Ridle Baku" "1. FSV Mainz 05" "Zentrales Mittelfeld" 15 997 7 20
"Nils Petersen" "SC Freiburg" Stürmer 24 2087 7 21
"Jean Zimmer" "Fortuna Düsseldorf" Rechtsverteidiger 18 1505 7 29
"Guido Burgstaller" "FC Schalke 04" Stürmer 24 1643 7 36
"Robin Koch" "SC Freiburg" Innenverteidiger 24 2048 6 9
"Lukas Kübler" "SC Freiburg" Rechtsverteidiger 16 1264 6 10
"Paco Alcácer" "Borussia Dortmund" Stürmer 26 1338 6 10
"Gonzalo Castro" "VfB Stuttgart" "Zentrales Mittelfeld" 25 1786 6 13
"Jérôme Gondorf" "SC Freiburg" "Zentrales Mittelfeld" 25 1404 6 17
"Bobby Wood" "Hannover 96" Stürmer 20 1273 6 22
"Daniel Brosinski" "1. FSV Mainz 05" Rechtsverteidiger 26 2343 6 22
"Javier Martínez" "FC Bayern München" "Defensives Mittelfeld" 21 1393 5 9
"Gelson Fernandes" "Eintracht Frankfurt" "Defensives Mittelfeld" 28 2348 5 11
"Sebastian Rudy" "FC Schalke 04" "Defensives Mittelfeld" 21 1455 5 12
"Evan N'Dicka" "Eintracht Frankfurt" Innenverteidiger 27 2483 5 13
"Lucas Alario" "Bayer 04 Leverkusen" Stürmer 27 1375 5 16
"Niclas Füllkrug" "Hannover 96" Stürmer 14 1195 5 21
"Dominik Kohr" "Bayer 04 Leverkusen" "Zentrales Mittelfeld" 18 1065 4 9
"Sebastian Kerk" "1. FC Nürnberg" "Linke Außenbahn" 21 1246 4 10
"Julian Korb" "Hannover 96" Rechtsverteidiger 12 1070 4 13
"Rouwen Hennings" "Fortuna Düsseldorf" Stürmer 29 1956 4 14
"Alfredo Morales" "Fortuna Düsseldorf" "Zentrales Mittelfeld" 23 1653 3 12
"Michael Lang" "B. Mönchengladbach" Rechtsverteidiger 17 1319 2 12
